Poblacion ORIGEN,Poblacion DESTINO,MODO_INFORME,MOTIVO_informe,Grupo edad,Actividad economica,Desplazamientos,Lat_origen,Long_origen,Lat_destino,Long_destino
Aretxabaleta,Astigarraga,"Coche, conductor/a","Ocio, cultura, deporte",20-44,"Personas jubiladas, pensionistas y otros tipos de inactividad",783,43.0301858431505,-2.4857005835,43.2797569478888,-1.9334342263
Aretxabaleta,Astigarraga,"Coche, pasajero/a","Ocio, cultura, deporte",45-64,Personas ocupadas,684,43.0301858431505,-2.4857005835,43.2797569478888,-1.9334342263
Arrasate/Mondragón,Aretxabaleta,Autobus interurbano,Centro estudios,7-19,Estudiantes,207,43.0745226631642,-2.4841486565,43.0301858431505,-2.4857005835
Arrasate/Mondragón,Aretxabaleta,Autobus interurbano,Medico / Hospital,65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",207,43.0745226631642,-2.4841486565,43.0301858431505,-2.4857005835
Arrasate/Mondragón,Aretxabaleta,"Coche, conductor/a",Acompanamiento,20-44,Personas ocupadas,112,43.0745226631642,-2.4841486565,43.0301858431505,-2.4857005835
Arrasate/Mondragón,Aretxabaleta,"Coche, conductor/a",Compras domestico-familiares,20-44,"Personas jubiladas, pensionistas y otros tipos de inactividad",189,43.0745226631642,-2.4841486565,43.0301858431505,-2.4857005835
Arrasate/Mondragón,Aretxabaleta,"Coche, conductor/a",Compras domestico-familiares,65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",116,43.0745226631642,-2.4841486565,43.0301858431505,-2.4857005835
Arrasate/Mondragón,Aretxabaleta,"Coche, conductor/a",Otros,45-64,Personas paradas,165,43.0745226631642,-2.4841486565,43.0301858431505,-2.4857005835
Arrasate/Mondragón,Aretxabaleta,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,598,43.0745226631642,-2.4841486565,43.0301858431505,-2.4857005835
Arrasate/Mondragón,Aretxabaleta,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,292,43.0745226631642,-2.4841486565,43.0301858431505,-2.4857005835
Arrasate/Mondragón,Aretxabaleta,"Coche, pasajero/a",Compras domestico-familiares,45-64,Personas ocupadas,165,43.0745226631642,-2.4841486565,43.0301858431505,-2.4857005835
Arrasate/Mondragón,Aretxabaleta,Multimodal,Trabajo habitual,20-44,Personas ocupadas,224,43.0745226631642,-2.4841486565,43.0301858431505,-2.4857005835
Arrasate/Mondragón,Azkoitia,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,866,43.0745226631642,-2.4841486565,43.1706487685027,-2.3309631204
Arrasate/Mondragón,Bergara,Autobus interurbano,Centro estudios,7-19,Estudiantes,207,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragón,Bergara,Autobus interurbano,Trabajo habitual,20-44,Personas ocupadas,207,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragón,Bergara,Bicicleta,Trabajo habitual,45-64,Personas ocupadas,165,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragón,Bergara,"Coche, conductor/a",Asuntos trabajo,45-64,Personas ocupadas,96,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragón,Bergara,"Coche, conductor/a",Centro estudios,7-19,Estudiantes,102,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragón,Bergara,"Coche, conductor/a",Gestiones personales,45-64,Personas ocupadas,165,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragón,Bergara,"Coche, conductor/a",Otra vivienda,20-44,Personas ocupadas,112,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragón,Bergara,"Coche, conductor/a",Otros,20-44,Personas ocupadas,112,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragón,Bergara,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,305,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragón,Bergara,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,291,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragón,Bergara,"Coche, pasajero/a",Gestiones personales,45-64,Personas ocupadas,164,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragón,Bergara,"Coche, pasajero/a",Medico / Hospital,20-44,Personas ocupadas,110,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragón,Bergara,"Coche, pasajero/a",Trabajo habitual,20-44,Personas ocupadas,148,43.0745226631642,-2.4841486565,43.1220053801849,-2.4148383635
Arrasate/Mondragón,Deba,"Coche, pasajero/a",Centro estudios,7-19,Estudiantes,303,43.0745226631642,-2.4841486565,43.2945746872118,-2.3538208007
Arrasate/Mondragón,Donostia/San Sebastián,"Coche, conductor/a",Acompanamiento,45-64,Personas ocupadas,298,43.0745226631642,-2.4841486565,43.2918111063554,-1.9885133578
Arrasate/Mondragón,Donostia/San Sebastián,"Coche, conductor/a",Asuntos trabajo,45-64,Personas ocupadas,139,43.0745226631642,-2.4841486565,43.2918111063554,-1.9885133578
Arrasate/Mondragón,Donostia/San Sebastián,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,250,43.0745226631642,-2.4841486565,43.2918111063554,-1.9885133578
Arrasate/Mondragón,Donostia/San Sebastián,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,213,43.0745226631642,-2.4841486565,43.2918111063554,-1.9885133578
Arrasate/Mondragón,Donostia/San Sebastián,"Coche, pasajero/a",Medico / Hospital,65 y mas,Tareas hogar,367,43.0745226631642,-2.4841486565,43.2918111063554,-1.9885133578
Arrasate/Mondragón,Donostia/San Sebastián,Multimodal,Centro estudios,20-44,Estudiantes,328,43.0745226631642,-2.4841486565,43.2918111063554,-1.9885133578
Arrasate/Mondragón,Eibar,"Coche, conductor/a",Gestiones personales,45-64,Personas ocupadas,144,43.0745226631642,-2.4841486565,43.1997782323138,-2.4616488769
Arrasate/Mondragón,Eibar,"Coche, conductor/a",Gestiones personales,45-64,Personas paradas,144,43.0745226631642,-2.4841486565,43.1997782323138,-2.4616488769
Arrasate/Mondragón,Eibar,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,139,43.0745226631642,-2.4841486565,43.1997782323138,-2.4616488769
Arrasate/Mondragón,Hernani,"Coche, conductor/a",Acompanamiento,45-64,"Personas jubiladas, pensionistas y otros tipos de inactividad",95,43.0745226631642,-2.4841486565,43.2387833429893,-1.9442591545
Arrasate/Mondragón,Hernani,"Coche, conductor/a",Centro estudios,20-44,Estudiantes,192,43.0745226631642,-2.4841486565,43.2387833429893,-1.9442591545
Arrasate/Mondragón,Hernani,"Coche, pasajero/a",Acompanamiento,65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",115,43.0745226631642,-2.4841486565,43.2387833429893,-1.9442591545
Arrasate/Mondragón,Hondarribia,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,165,43.0745226631642,-2.4841486565,43.3748851848767,-1.8239709632
Arrasate/Mondragón,Irun,"Coche, conductor/a",Asuntos trabajo,20-44,Personas ocupadas,689,43.0745226631642,-2.4841486565,43.318640571622,-1.77372589148
Arrasate/Mondragón,Oñati,Autobus interurbano,Centro estudios,7-19,Estudiantes,207,43.0745226631642,-2.4841486565,43.0178261678898,-2.4067931275
Arrasate/Mondragón,Oñati,Autobus interurbano,Trabajo habitual,7-19,Personas ocupadas,207,43.0745226631642,-2.4841486565,43.0178261678898,-2.4067931275
Arrasate/Mondragón,Oñati,"Coche, conductor/a",Medico / Hospital,20-44,Personas ocupadas,112,43.0745226631642,-2.4841486565,43.0178261678898,-2.4067931275
Arrasate/Mondragón,Oñati,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,723,43.0745226631642,-2.4841486565,43.0178261678898,-2.4067931275
Arrasate/Mondragón,Oñati,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,290,43.0745226631642,-2.4841486565,43.0178261678898,-2.4067931275
Arrasate/Mondragón,Oñati,"Coche, pasajero/a",Trabajo habitual,20-44,Personas ocupadas,193,43.0745226631642,-2.4841486565,43.0178261678898,-2.4067931275
Arrasate/Mondragón,Zarautz,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,1068,43.0745226631642,-2.4841486565,43.280963309723,-2.16722426204
Arrasate/Mondragón,Zumarraga,"Coche, conductor/a",Centro estudios,20-44,Estudiantes,344,43.0745226631642,-2.4841486565,43.1030792391374,-2.3156108273
Arrasate/Mondragón,Zumarraga,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,382,43.0745226631642,-2.4841486565,43.1030792391374,-2.3156108273
Astigarraga,Arrasate/Mondragón,"Coche, conductor/a","Ocio, cultura, deporte",20-44,"Personas jubiladas, pensionistas y otros tipos de inactividad",384,43.2797569478888,-1.9334342263,43.0745226631642,-2.4841486565
Astigarraga,Arrasate/Mondragón,"Coche, pasajero/a","Ocio, cultura, deporte",45-64,Personas ocupadas,336,43.2797569478888,-1.9334342263,43.0745226631642,-2.4841486565
Astigarraga,Deba,"Coche, conductor/a",Asuntos trabajo,45-64,Personas ocupadas,172,43.2797569478888,-1.9334342263,43.2945746872118,-2.3538208007
Astigarraga,Donostia/San Sebastián,Autobus interurbano,Centro estudios,7-19,Estudiantes,478,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,Autobus interurbano,Gestiones domestico-familiares,65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",239,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,Autobus interurbano,Trabajo habitual,20-44,Estudiantes,239,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,Autobus interurbano,Trabajo habitual,45-64,Personas ocupadas,239,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, conductor/a",Acompanamiento,20-44,Personas ocupadas,457,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, conductor/a",Acompanamiento,45-64,Personas ocupadas,370,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, conductor/a",Asuntos trabajo,20-44,Personas ocupadas,115,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, conductor/a",Compras domestico-familiares,45-64,Personas ocupadas,112,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, conductor/a",Compras domestico-familiares,65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",103,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, conductor/a",Gestiones personales,45-64,Personas paradas,100,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, conductor/a","Ocio, cultura, deporte",45-64,Personas ocupadas,147,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, conductor/a",Otra vivienda,20-44,Personas ocupadas,131,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, conductor/a",Otros,20-44,Personas ocupadas,171,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, conductor/a",Otros,65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",103,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,679,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,364,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, pasajero/a",Acompanamiento,20-44,Personas ocupadas,332,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, pasajero/a",Centro estudios,7-19,Estudiantes,356,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, pasajero/a",Medico / Hospital,45-64,Personas ocupadas,147,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, pasajero/a","Ocio, cultura, deporte",45-64,Personas ocupadas,146,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, pasajero/a","Ocio, cultura, deporte",7-19,Estudiantes,119,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,"Coche, pasajero/a",Otros,20-44,Personas ocupadas,168,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,Moto,Trabajo habitual,45-64,Personas ocupadas,113,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,Multimodal,Centro estudios,7-19,Estudiantes,239,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,Taxi,Centro estudios,7-19,Estudiantes,119,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Donostia/San Sebastián,Taxi,"Ocio, cultura, deporte",65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",121,43.2797569478888,-1.9334342263,43.2918111063554,-1.9885133578
Astigarraga,Errenteria,"Coche, conductor/a",Otra vivienda,20-44,Personas ocupadas,268,43.2797569478888,-1.9334342263,43.2553049551337,-1.8928623455
Astigarraga,Errenteria,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,393,43.2797569478888,-1.9334342263,43.2553049551337,-1.8928623455
Astigarraga,Hernani,"Coche, conductor/a",Otra vivienda,45-64,Personas ocupadas,120,43.2797569478888,-1.9334342263,43.2387833429893,-1.9442591545
Astigarraga,Hernani,"Coche, conductor/a",Otros,65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",120,43.2797569478888,-1.9334342263,43.2387833429893,-1.9442591545
Astigarraga,Hernani,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,1000,43.2797569478888,-1.9334342263,43.2387833429893,-1.9442591545
Astigarraga,Hernani,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,99,43.2797569478888,-1.9334342263,43.2387833429893,-1.9442591545
Astigarraga,Hernani,"Coche, pasajero/a",Compras domestico-familiares,20-44,Personas ocupadas,143,43.2797569478888,-1.9334342263,43.2387833429893,-1.9442591545
Astigarraga,Hernani,"Coche, pasajero/a",Trabajo habitual,20-44,Personas ocupadas,313,43.2797569478888,-1.9334342263,43.2387833429893,-1.9442591545
Astigarraga,Hondarribia,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,234,43.2797569478888,-1.9334342263,43.3748851848767,-1.8239709632
Astigarraga,Irun,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,470,43.2797569478888,-1.9334342263,43.318640571622,-1.77372589148
Azkoitia,Arrasate/Mondragón,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,783,43.1706487685027,-2.3309631204,43.0745226631642,-2.4841486565
Azkoitia,Azpeitia,Autobus interurbano,Trabajo habitual,20-44,Estudiantes,257,43.1706487685027,-2.3309631204,43.1624073640789,-2.2517858723
Azkoitia,Azpeitia,Autobus interurbano,Trabajo habitual,20-44,Personas ocupadas,257,43.1706487685027,-2.3309631204,43.1624073640789,-2.2517858723
Azkoitia,Azpeitia,Bicicleta,Centro estudios,7-19,Estudiantes,305,43.1706487685027,-2.3309631204,43.1624073640789,-2.2517858723
Azkoitia,Azpeitia,Bicicleta,"Ocio, cultura, deporte",45-64,Tareas hogar,177,43.1706487685027,-2.3309631204,43.1624073640789,-2.2517858723
Azkoitia,Azpeitia,"Coche, conductor/a",Compras domestico-familiares,20-44,Personas ocupadas,203,43.1706487685027,-2.3309631204,43.1624073640789,-2.2517858723
Azkoitia,Azpeitia,"Coche, conductor/a",Compras domestico-familiares,45-64,Personas ocupadas,177,43.1706487685027,-2.3309631204,43.1624073640789,-2.2517858723
Azkoitia,Azpeitia,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,613,43.1706487685027,-2.3309631204,43.1624073640789,-2.2517858723
Azkoitia,Azpeitia,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,872,43.1706487685027,-2.3309631204,43.1624073640789,-2.2517858723
Azkoitia,Azpeitia,"Coche, pasajero/a",Compras domestico-familiares,7-19,Estudiantes,143,43.1706487685027,-2.3309631204,43.1624073640789,-2.2517858723
Azkoitia,Azpeitia,Multimodal,Trabajo habitual,20-44,Personas ocupadas,143,43.1706487685027,-2.3309631204,43.1624073640789,-2.2517858723
Azkoitia,Bergara,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,199,43.1706487685027,-2.3309631204,43.1220053801849,-2.4148383635
Azkoitia,Donostia/San Sebastián,Autobus interurbano,"Ocio, cultura, deporte",65 y mas,"Personas jubiladas, pensionistas y otros tipos de inactividad",276,43.1706487685027,-2.3309631204,43.2918111063554,-1.9885133578
Azkoitia,Donostia/San Sebastián,Autobus interurbano,Trabajo habitual,45-64,Personas ocupadas,276,43.1706487685027,-2.3309631204,43.2918111063554,-1.9885133578
Azkoitia,Donostia/San Sebastián,"Coche, conductor/a",Medico / Hospital,45-64,Personas ocupadas,179,43.1706487685027,-2.3309631204,43.2918111063554,-1.9885133578
Azkoitia,Ordizia,"Coche, conductor/a",Medico / Hospital,20-44,Personas ocupadas,264,43.1706487685027,-2.3309631204,43.0637579709383,-2.1818318125
Azkoitia,Ordizia,"Coche, pasajero/a",Centro estudios,7-19,Estudiantes,182,43.1706487685027,-2.3309631204,43.0637579709383,-2.1818318125
Azkoitia,Oñati,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,289,43.1706487685027,-2.3309631204,43.0178261678898,-2.4067931275
Azkoitia,Zarautz,"Coche, conductor/a",Asuntos trabajo,45-64,Personas ocupadas,94,43.1706487685027,-2.3309631204,43.280963309723,-2.16722426204
Azkoitia,Zarautz,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,193,43.1706487685027,-2.3309631204,43.280963309723,-2.16722426204
Azkoitia,Zumaia,"Coche, conductor/a",Acompanamiento,45-64,Personas ocupadas,176,43.1706487685027,-2.3309631204,43.2876451846902,-2.2461133898
Azkoitia,Zumarraga,Autobus discrecional,Trabajo habitual,45-64,Personas ocupadas,230,43.1706487685027,-2.3309631204,43.1030792391374,-2.3156108273
Azpeitia,Azkoitia,Autobus interurbano,Trabajo habitual,20-44,Personas ocupadas,257,43.1624073640789,-2.2517858723,43.1706487685027,-2.3309631204
Azpeitia,Azkoitia,Bicicleta,Centro estudios,7-19,Estudiantes,305,43.1624073640789,-2.2517858723,43.1706487685027,-2.3309631204
Azpeitia,Azkoitia,Bicicleta,"Ocio, cultura, deporte",45-64,Tareas hogar,177,43.1624073640789,-2.2517858723,43.1706487685027,-2.3309631204
Azpeitia,Azkoitia,"Coche, conductor/a",Acompanamiento,45-64,Personas ocupadas,103,43.1624073640789,-2.2517858723,43.1706487685027,-2.3309631204
Azpeitia,Azkoitia,"Coche, conductor/a",Otra vivienda,45-64,Personas ocupadas,102,43.1624073640789,-2.2517858723,43.1706487685027,-2.3309631204
Azpeitia,Azkoitia,"Coche, conductor/a",Trabajo habitual,20-44,Personas ocupadas,613,43.1624073640789,-2.2517858723,43.1706487685027,-2.3309631204
Azpeitia,Azkoitia,"Coche, conductor/a",Trabajo habitual,45-64,Personas ocupadas,490,43.1624073640789,-2.2517858723,43.1706487685027,-2.3309631204
Azpeitia,Azkoitia,Multimodal,Trabajo habitual,20-44,Personas ocupadas,257,43.1624073640789,-2.2517858723,43.1706487685027,-2.3309631204
